date,meantempm,meandewptm,meanpressurem,maxhumidity,minhumidity,maxtempm,mintempm,maxdewptm,mindewptm,maxpressurem,minpressurem,precipm,sealevelpressure,dewpoint
1/1/2015,25,24,1008.88,100,65,29,21,25,22,1012,1007,0.4,29.67,76.3
1/2/2015,26,24,1011.18,100,66,30,22,26,22,1014,1009,0,29.73,78.8
1/3/2015,26,24,1012.48,100,60,30,23,25,23,1015,1010,0,29.71,77.4
1/4/2015,26,23,1012.57,100,58,30,22,25,22,1016,1010,0,29.71,70.2
1/5/2015,26,23,1012.3,100,49,30,22,25,20,1015,1010,0,29.7,77.2
1/6/2015,26,23,1012.6,100,50,30,21,25,21,1016,1011,0,29.72,77.9
1/7/2015,26,23,1012.38,100,55,30,21,24,22,1016,1010,0,29.66,77.7
1/8/2015,25,22,1012.78,100,56,29,21,24,21,1016,1011,0,29.7,78.6
1/9/2015,26,22,1014.12,100,55,29,22,23,18,1017,1012,0,29.72,79
1/10/2015,23,18,1014.63,94,40,29,17,22,14,1018,1012,0,29.66,79.2
1/11/2015,24,18,1014.66,88,33,29,19,20,15,1018,1013,0,29.74,77.4
1/12/2015,24,18,1013.96,94,34,28,19,19,15,1017,1012,0,29.76,73.6
1/13/2015,24,18,1013.14,94,41,29,18,20,16,1017,1011,0,29.59,77.7
1/14/2015,23,18,1012.96,94,43,28,18,20,16,1016,1011,0,29.64,79.9
1/15/2015,24,19,1012.9,94,43,29,18,22,18,1016,1011,0,29.66,79.2
1/16/2015,25,21,1013.33,100,48,29,21,23,19,1016,1011,0,29.58,76.3
1/17/2015,24,19,1013.94,94,41,29,20,22,16,1017,1012,0,29.63,78.1
1/18/2015,24,19,1014.37,100,45,28,20,21,17,1017,1012,0,29.64,77
1/19/2015,24,18,1014.32,94,39,29,19,19,17,1017,1012,0,29.57,78.8
1/20/2015,24,18,1015.73,94,41,29,19,20,17,1018,1014,0,29.54,78.6
1/21/2015,24,18,1017.17,88,29,29,19,20,14,1020,1015,0,29.57,75
1/22/2015,24,20,1016.81,88,58,28,20,22,18,1019,1014,0.5,29.64,75.2
1/23/2015,26,22,1014.4,100,52,29,22,23,20,1017,1012,0,29.65,77.2
1/24/2015,25,22,1014.5,94,62,29,21,24,19,1017,1012,3,29.59,77.4
1/25/2015,24,20,1015.87,100,46,28,19,21,18,1019,1014,0,29.57,78.4
1/26/2015,24,20,1015.02,94,42,29,20,21,18,1018,1013,0,29.62,79.5
1/27/2015,24,21,1013.59,94,53,28,21,22,19,1017,1011,0,29.64,80.8
1/28/2015,24,20,1012.24,94,48,29,20,23,19,1015,1010,3,29.59,80.2
1/29/2015,26,21,1012.76,94,47,30,22,23,19,1016,1010,0,29.59,79.5
1/30/2015,26,21,1014.53,94,48,29,22,23,19,1017,1013,0,29.64,77.7
1/31/2015,24,20,1014.88,100,43,29,20,22,19,1017,1013,0,29.64,78.3
2/1/2015,24,21,1014.58,100,46,29,20,22,20,1017,1012,0,29.58,78.8
2/2/2015,25,20,1015.9,94,45,29,21,22,18,1018,1014,0,29.57,79.9
2/3/2015,25,20,1017.27,88,43,30,20,21,18,1020,1015,0,29.62,81
2/4/2015,26,21,1016.67,94,44,30,21,22,19,1020,1014,0,29.62,81
2/5/2015,26,20,1015.07,94,36,31,20,22,17,1017,1013,0,29.6,80.6
2/6/2015,26,21,1014.63,94,43,30,21,22,19,1017,1013,0,29.58,81.9
2/7/2015,25,20,1014.23,94,37,30,20,22,16,1017,1012,0,29.57,81.7
2/8/2015,25,20,1013.73,94,42,30,20,21,18,1016,1011,0,29.59,80.4
2/9/2015,25,19,1013.92,88,38,30,20,21,17,1016,1012,0,29.64,80.1
2/10/2015,25,20,1014.51,83,47,29,21,21,18,1018,1012,0,29.66,80.6
2/11/2015,25,21,1013.42,88,51,29,21,22,20,1016,1011,0,29.62,79.5
2/12/2015,26,21,1012.81,94,40,31,21,22,19,1016,1010,0,29.61,79
2/13/2015,26,22,1012.52,94,50,31,21,23,20,1016,1010,0,29.65,79
2/14/2015,26,21,1011.36,100,36,32,20,23,16,1014,1009,0,29.64,82.4
2/15/2015,26,20,1011.78,88,23,33,20,23,13,1014,1009,0,29.63,79.2
2/16/2015,26,20,1012.85,100,28,32,21,22,16,1016,1010,0,29.63,79.9
2/17/2015,25,21,1012.43,100,37,29,21,22,16,1016,1009,0,29.67,80.1
2/18/2015,26,20,1011.9,94,29,32,20,22,12,1015,1009,0,29.64,80.4
2/19/2015,24,20,1011.76,94,39,30,19,29,18,1015,1009,0,29.59,80.2
2/20/2015,25,20,1012.6,94,36,30,20,22,18,1015,1010,0,29.56,80.8
2/21/2015,26,20,1012.86,94,37,30,21,22,17,1015,1011,0,29.62,81.1
2/22/2015,26,19,1013.23,94,27,31,21,22,15,1016,1011,0,29.63,80.8
2/23/2015,26,20,1013.4,94,35,31,21,22,17,1016,1011,0,29.58,80.2
2/24/2015,26,19,1012.31,94,29,31,20,21,15,1016,1010,0,29.61,80.1
2/25/2015,26,18,1010.75,94,20,32,19,21,11,1014,1009,0,29.66,80.4
2/26/2015,26,21,1009.71,88,45,31,21,24,19,1013,1007,0,29.63,79.7
2/27/2015,27,24,1009.94,94,56,32,22,24,22,1013,1008,0,29.59,79.7
2/28/2015,27,24,1010.25,94,55,31,23,24,22,1013,1008,0,29.6,80.6
3/1/2015,28,23,1010.67,84,55,31,24,24,22,1013,1008,0,29.65,80.6
3/2/2015,28,23,1011.82,89,50,31,25,24,22,1015,1009,0,29.63,79.9
3/3/2015,28,23,1011.06,89,50,32,23,24,22,1014,1008,0,29.58,80.8
3/4/2015,28,23,1010.63,94,38,33,23,25,20,1014,1008,0,29.57,80.1
3/5/2015,28,25,1011.78,94,50,33,24,25,24,1015,1010,0,29.6,81
3/6/2015,28,24,1012.85,100,43,32,24,25,21,1016,1011,0,29.67,80.4
3/7/2015,28,23,1012.71,94,44,33,24,25,21,1016,1010,0,29.64,79.3
3/8/2015,28,23,1013.28,94,45,32,23,24,21,1016,1011,0,29.59,79.7
3/9/2015,28,23,1014.25,94,37,33,24,24,19,1017,1012,0,29.55,80.2
3/10/2015,27,20,1014.02,100,35,32,22,24,17,1016,1012,0, ,80.8
3/11/2015,27,21,1013.8,83,34,32,22,22,19,1017,1011,0,29.63,78.8
3/12/2015,28,22,1013.7,89,43,32,23,23,21,1016,1011,0,29.63,80.2
3/13/2015,28,22,1013.38,94,38,33,24,24,20,1016,1011,0,29.57,80.8
3/14/2015,28,23,1014.08,94,39,33,23,24,21,1017,1012,0,29.55,80.6
3/15/2015,28,23,1014.08,100,45,32,24,24,21,1017,1011,0,29.59,82.2
3/16/2015,28,23,1014.04,94,42,32,23,24,20,1017,1012,0,29.59,81.5
3/17/2015,27,22,1012.6,94,37,33,21,23,18,1016,1010,0,29.55,81.3
3/18/2015,28,21,1010.58,94,28,35,21,23,16,1013,1008,0,29.57,81
3/19/2015,28,22,1011.27,94,32,34,21,24,19,1014,1009,0,29.57,79.9
3/20/2015,28,23,1012.35,94,42,33,23,24,21,1015,1010,0,29.61,81.9
3/21/2015,29,21,1013.04,94,19,35,23,24,12,1016,1010,0,29.62,81.3
3/22/2015,30,22,1011.52,89,24,36,23,25,16,1015,1009,0,29.57,81.3
3/23/2015,29,24,1009.92,94,39,35,23,26,20,1013,1007,0,29.65,80.2
3/24/2015,28,24,1009.43,100,40,34,23,26,22,1012,1007,0,29.57,81
3/25/2015,28,24,1010.65,94,46,33,23,25,22,1014,1009,0,29.7,79.7
3/26/2015,28,23,1012.6,94,40,33,24,24,21,1016,1011,0,29.69,81.1
3/27/2015,28,23,1012.75,94,37,33,24,24,20,1016,1010,0,29.6,80.6
3/28/2015,29,24,1011.54,94,38,34,24,25,21,1015,1008,0,29.57,81.1
3/29/2015,30,23,1010.11,94,32,34,25,25,19,1014,1007,0,29.64,81
3/30/2015,29,24,1010,94,41,34,24,25,21,1013,1007,0,29.59,80.1
3/31/2015,30,24,1010.32,89,42,34,26,26,22,1013,1008,0,29.61,79.7
4/1/2015,30,25,1009.96,94,44,34,26,26,23,1013,1007,0,29.54,79
4/2/2015,31,25,1008.62,94,37,36,26,26,22,1012,1005,0,29.56,80.6
4/3/2015,32,25,1006.4,89,38,38,25,27,22,1010,1003,0,29.61,80.6
4/4/2015,32,25,1004.67,89,33,37,27,27,20,1007,1002,0,29.61,80.6
4/5/2015,31,26,1005.96,89,37,36,26,27,22,1009,1004,0,29.56,80.6
4/6/2015,30,24,1006.88,89,35,35,26,26,21,1010,1004,0,29.54,81.9
4/7/2015,30,25,1007.62,89,47,35,26,26,22,1011,1005,0,29.6,81.9
4/8/2015,30,25,1009.38,84,38,34,25,26,22,1012,1007,0,29.65,81.5
4/9/2015,30,25,1009.82,89,52,34,26,26,24,1012,1008,0,29.61,80.2
4/10/2015,30,24,1010.19,89,42,35,25,25,22,1013,1007,0,29.6,75.2
4/11/2015,30,24,1010.43,94,34,35,24,26,21,1014,1008,0,29.65,75.2
4/12/2015,30,24,1012,94,44,34,25,25,22,1015,1009,0.4,29.66,76.1
4/13/2015,29,23,1012.21,94,44,33,24,26,21,1015,1008,0.7,29.6,74.5
4/14/2015,28,21,1010.38,94,27,34,22,25,16,1014,1007,0,29.57,78.4
4/15/2015,26,24,1010.79,94,63,29,23,25,22,1014,1009,103,29.63,79.5
4/16/2015,28,24,1011.6,94,47,32,24,25,22,1015,1009,0,29.65,77.5
4/17/2015,29,24,1009.78,94,41,33,25,26,21,1014,1006,0,29.6,81.7
4/18/2015,30,23,1007.89,89,34,35,24,25,20,1011,1005,0,29.61,80.4
4/19/2015,29,24,1008.15,94,44,33,25,25,22,1011,1006,0,29.66,81.1
4/20/2015,30,25,1009.71,94,47,34,26,26,23,1013,1007,0,29.63,81.5
4/21/2015,30,26,1009.53,89,48,34,27,26,24,1012,1007,0,29.55,81.7
4/22/2015,30,25,1008.5,94,42,35,26,26,24,1012,1006,0,29.64,79.2
4/23/2015,32,26,1008.39,84,42,37,27,27,24,1012,1005,0,29.59,79.3
4/24/2015,30,25,1009.12,94,42,35,24,27,22,1012,1006,6,29.67,80.1
