,count,mean,std,min,25%,50%,75%,max,outliers
maxhumidity_1,1099,89.874431,7.191036,58,86,89,94,100,TRUE
maxhumidity_2,1098,89.865209,7.187808,58,86,89,94,100,TRUE
maxhumidity_3,1097,89.865998,7.191039,58,86,89,94,100,TRUE
maxhumidity_4,1096,89.872263,7.191326,58,86,89,94,100,TRUE
mindewptm_1,1099,20.784349,2.472046,10,20,21,22,27,TRUE
mindewptm_2,1098,20.785064,2.473059,10,20,21,22,27,TRUE
mindewptm_3,1097,20.786691,2.473599,10,20,21,22,27,TRUE
mindewptm_4,1096,20.790146,2.472079,10,20,21,22,27,TRUE
minpressurem_1,1099,1006.034577,3.988906,974,1003,1006,1009,1016,TRUE
minpressurem_2,1098,1006.030965,3.988926,974,1003,1006,1009,1016,TRUE
minpressurem_3,1097,1006.026436,3.987919,974,1003,1006,1009,1016,TRUE
minpressurem_4,1096,1006.021898,3.986905,974,1003,1006,1009,1016,TRUE
precipm_1,1099,3.147498,17.397051,0,0,0,0,325,TRUE
precipm_2,1098,3.150364,17.404719,0,0,0,0,325,TRUE
precipm_3,1097,3.153236,17.412397,0,0,0,0,325,TRUE
precipm_4,1096,3.156113,17.420085,0,0,0,0,325,TRUE
dewpoint_1,1078,71.669991,14.382162,29.82,71.1,75.9,79.5,89.6,TRUE
dewpoint_2,1077,71.659656,14.384839,29.82,71.1,75.9,79.5,89.6,TRUE
dewpoint_3,1076,71.650976,14.388706,29.82,71.1,75.9,79.5,89.6,TRUE
dewpoint_4,1075,71.642,14.392389,29.82,71.1,75.9,79.4,89.6,TRUE
