date,meantempm,meandewptm,meanpressurem,maxhumidity,minhumidity,maxtempm,mintempm,maxdewptm,mindewptm,maxpressurem,minpressurem,precipm
2017-01-01 00:00:00,26,20,1012.16,89,39,30,21,22,18,1016,1010,0.0
2017-01-02 00:00:00,26,21,1012.48,94,49,30,21,22,19,1016,1010,0.0
2017-01-03 00:00:00,25,19,1012.14,94,33,31,19,21,16,1016,1009,0.0
2017-01-04 00:00:00,24,20,1011.84,94,34,30,19,21,16,1015,1010,0.0
2017-01-05 00:00:00,25,20,1011.23,94,42,30,20,22,18,1015,1009,0.0
2017-01-06 00:00:00,25,20,1010.95,94,44,30,20,22,18,1015,1009,0.0
2017-01-07 00:00:00,24,19,1009.79,94,37,30,19,21,17,1014,1007,0.0
2017-01-08 00:00:00,24,18,1009.50,94,39,29,18,20,15,1013,1007,0.0
2017-01-09 00:00:00,24,18,1009.77,88,34,30,18,20,16,1014,1008,0.0
2017-01-10 00:00:00,24,19,1010.05,88,39,30,19,21,17,1014,1008,0.0
2017-01-11 00:00:00,24,19,1010.46,94,39,30,19,21,18,1014,1008,0.0
2017-01-12 00:00:00,25,20,1009.95,94,48,30,20,21,19,1014,1007,0.0
2017-01-13 00:00:00,25,19,1010.43,94,37,30,20,22,16,1014,1009,0.0
2017-01-14 00:00:00,24,19,1011.64,94,38,30,19,21,15,1015,1009,0.0
2017-01-15 00:00:00,26,20,1013.34,88,51,30,21,21,19,1017,1011,0.0
2017-01-16 00:00:00,24,19,1013.29,94,41,28,19,21,17,1018,1011,0.0
2017-01-17 00:00:00,24,18,1013.14,94,37,29,19,20,16,1017,1011,0.0
2017-01-18 00:00:00,24,17,1014.04,83,40,29,19,19,16,1017,1012,0.0
2017-01-19 00:00:00,24,18,1013.84,83,43,30,19,19,16,1017,1012,0.0
2017-01-20 00:00:00,26,20,1013.00,83,44,29,22,22,19,1016,1010,0.0
2017-01-21 00:00:00,27,22,1013.73,79,52,30,24,23,20,1018,1011,0.0
2017-01-22 00:00:00,26,20,1014.98,89,46,31,22,22,19,1018,1013,0.0
2017-01-23 00:00:00,26,20,1014.52,94,30,32,21,22,14,1019,1012,0.0
2017-01-24 00:00:00,26,20,1013.84,94,42,30,21,22,18,1017,1012,0.0
2017-01-25 00:00:00,26,20,1014.55,88,42,30,23,21,19,1018,1012,0.0
2017-01-26 00:00:00,27,22,1014.85,94,61,30,24,24,20,1017,1013,1.0
2017-01-27 00:00:00,26,24,1013.71,94,57,30,23,25,22,1015,1012,4.0
2017-01-28 00:00:00,27,23,1013.52,94,52,31,23,24,22,1015,1012,0.0
2017-01-29 00:00:00,26,22,1014.27,100,56,31,22,24,21,1017,1013,0.0
2017-01-30 00:00:00,25,21,1014.12,94,46,30,20,23,20,1017,1012,0.0
2017-01-31 00:00:00,26,20,1013.80,94,42,30,21,23,18,1016,1012,0.0
2017-02-01 00:00:00,25,19,1014.33,94,36,31,19,22,17,1016,1013,0.0
2017-02-02 00:00:00,24,20,1015.94,94,42,30,19,21,18,1018,1014,0.0
2017-02-03 00:00:00,25,20,1015.43,94,38,30,20,21,18,1018,1013,0.0
2017-02-04 00:00:00,24,19,1014.31,94,31,30,19,22,15,1017,1013,0.0
2017-02-05 00:00:00,25,18,1013.84,83,31,30,20,19,15,1016,1011,0.0
2017-02-06 00:00:00,26,17,1013.43,88,27,32,19,19,12,1016,1011,0.0
2017-02-07 00:00:00,26,17,1013.20,88,22,33,18,19,10,1016,1011,0.0
2017-02-08 00:00:00,24,17,1013.84,88,24,31,18,20,11,1016,1012,0.0
2017-02-09 00:00:00,24,18,1013.55,94,34,30,19,20,16,1016,1011,0.0
2017-02-10 00:00:00,24,17,1012.87,83,30,31,18,18,14,1015,1010,0.0
2017-02-11 00:00:00,24,18,1014.04,88,33,30,18,19,16,1016,1012,0.0
2017-02-12 00:00:00,25,18,1015.47,83,31,31,19,20,15,1018,1013,0.0
2017-02-13 00:00:00,26,20,1016.60,88,41,31,21,22,19,1019,1015,0.0
2017-02-14 00:00:00,28,21,1017.67,78,43,32,24,22,20,1020,1016,0.0
2017-02-15 00:00:00,26,20,1017.94,89,42,31,22,22,17,1020,1016,0.0
2017-02-16 00:00:00,26,18,1016.25,88,33,31,22,21,14,1019,1013,0.0
2017-02-17 00:00:00,25,18,1015.02,88,31,31,19,22,15,1018,1013,0.0
2017-02-18 00:00:00,25,19,1015.38,88,36,31,19,21,18,1018,1013,0.0
2017-02-19 00:00:00,26,20,1014.07,94,41,32,19,21,19,1017,1011,0.0
2017-02-20 00:00:00,28,21,1010.83,94,22,35,20,24,16,1014,1007,0.0
2017-02-21 00:00:00,28,22,1010.11,94,31,35,21,24,17,1013,1008,0.0
2017-02-22 00:00:00,28,23,1010.84,94,42,34,21,24,19,1013,1009,0.0
2017-02-23 00:00:00,27,22,1012.24,94,39,33,21,24,19,1015,1010,0.0
2017-02-24 00:00:00,26,21,1013.24,94,39,32,21,23,19,1015,1011,0.0
2017-02-25 00:00:00,26,21,1013.26,94,44,32,20,25,20,1016,1011,0.0
2017-02-26 00:00:00,25,22,1011.59,94,52,29,21,23,21,1014,1010,0.0
2017-02-27 00:00:00,26,22,1012.60,94,43,31,21,23,20,1015,1011,0.0
2017-02-28 00:00:00,26,21,1012.86,94,40,31,21,22,18,1016,1011,0.0
2017-03-01 00:00:00,26,21,1012.73,94,43,31,20,23,18,1014,1011,0.0
2017-03-02 00:00:00,26,21,1011.65,94,31,32,21,23,17,1015,1009,0.0
2017-03-03 00:00:00,26,22,1009.29,94,38,33,20,23,19,1012,1007,0.0
2017-03-04 00:00:00,28,24,1009.00,89,44,33,24,25,22,1011,1007,0.0
2017-03-05 00:00:00,29,24,1008.38,89,47,33,25,25,22,1011,1006,0.0
2017-03-06 00:00:00,29,25,1007.95,89,38,34,24,25,22,1010,1006,0.0
2017-03-07 00:00:00,30,25,1008.23,89,45,34,25,26,22,1011,1006,0.0
2017-03-08 00:00:00,29,24,1008.34,89,42,33,25,26,21,1013,1005,0.0
2017-03-09 00:00:00,30,25,1007.80,89,43,34,25,25,22,1010,1005,0.0
2017-03-10 00:00:00,30,25,1007.93,89,36,35,25,26,22,1010,1005,0.0
2017-03-11 00:00:00,31,24,1009.27,89,34,36,26,26,20,1012,1007,0.0
2017-03-12 00:00:00,30,25,1009.95,89,40,35,26,26,22,1012,1007,0.0
2017-03-13 00:00:00,30,25,1010.76,89,47,34,25,26,23,1013,1009,0.0
2017-03-14 00:00:00,30,25,1011.56,89,46,33,26,26,22,1014,1009,0.0
2017-03-15 00:00:00,29,24,1012.24,89,42,33,25,25,21,1014,1010,0.0
2017-03-16 00:00:00,28,23,1011.82,97,41,33,24,24,21,1014,1010,0.0
2017-03-17 00:00:00,29,23,1010.47,89,45,34,24,24,22,1013,1008,0.0
2017-03-18 00:00:00,30,24,1011.04,84,37,35,24,24,21,1014,1009,0.0
2017-03-19 00:00:00,30,24,1011.45,89,38,35,24,26,22,1014,1009,0.0
2017-03-20 00:00:00,30,25,1010.49,94,36,36,25,26,21,1013,1007,0.0
2017-03-21 00:00:00,30,25,1011.93,89,39,36,25,26,21,1014,1010,0.0
