 date_of_observation,sea_level_pressure,dew_point,wind_direction,wind_speed,air_temperature
5/2/2015,29.70333333,77.5,186.6666667,16.2,86.23333333
5/3/2015,29.71,70.2,170,5.8,81.1
5/12/2015,29.69333333,78.26666667,175,12,86.95
5/13/2015,29.75,75.5,130,9.75,81.6
5/16/2015,29.59,77.7,140,3.9,84.7
5/17/2015,29.60857143,78.27142857,205.7142857,11.64285714,85.01428571
5/18/2015,29.60875,77.9625,185,15.3125,86.05
5/19/2015,29.601,80.04,212,21.01,86.38
5/20/2015,29.63,80.14285714,224.2857143,21.64285714,88.12857143
5/21/2015,29.63,79.2,200,27.2,86
5/22/2015,29.615,80.4375,210,25.5,86.8
5/23/2015,29.61333333,80.21111111,218.8888889,25.27777778,86.64444444
5/24/2015,27.48071429,80.55714286,186.4285714,22.21428571,85.50714286
5/25/2015,29.604,80.92,202,22.94,85.6
5/26/2015,29.62285714,80.65714286,215.7142857,22.21428571,86.6
5/27/2015,29.61,79.7,220,25.3,86.2
5/28/2015,29.55,79.8,220,22.35,82.75
5/29/2015,29.5975,80.3125,215,15.5375,83.975
5/30/2015,29.62125,77.9125,197.5,10.95,84.9375
5/31/2015,29.61333333,81.43333333,203.3333333,17.5,84.46666667
6/4/2015,29.64,79.52,186,17.12,86.06
6/5/2015,29.642,79.68,216,19.04,85.32
6/6/2015,29.67,79,230,19.4,85.6
6/18/2015,29.54333333,74.8,253.3333333,10.06666667,83.83333333
6/19/2015,29.5475,73.4,245,12.65,85.275
6/20/2015,29.5275,76.675,237.5,12.175,85.825
6/28/2015,29.644,78.58,190,21,85.32
6/29/2015,29.735,75,215,12.65,85
6/30/2015,29.69666667,79.26666667,206.6666667,25.3,85.23333333
7/21/2015,29.55142857,74.24285714,205.7142857,13.07142857,83.34285714
7/22/2015,29.57,73.1,195,7.8,82.65
8/20/2015,29.71333333,79.1,183.3333333,14.9,87.73333333
8/22/2015,29.645,75.15,230,18.5,82.4
8/23/2015,29.68,76.8,250,17.5,84.7
9/14/2015,29.6275,76.55,232.5,13.125,85.625
9/24/2015,29.69142857,78.74285714,191.4285714,15.3,84.75714286
9/25/2015,29.6675,79.125,210,12.8875,85.2
9/26/2015,29.69666667,78.5,246.6666667,14.9,86.76666667
9/27/2015,29.67,77.03333333,286.6666667,7.45,84.23333333
9/28/2015,29.6675,77.7,145,6.8,85.2125
9/29/2015,29.69875,75.375,236.25,3.3875,82.9375
9/30/2015,29.77,74.8,260,3.9,84.6
10/8/2015,29.70666667,77.26666667,223.3333333,19.43333333,83.46666667
10/9/2015,29.7125,77.025,287.5,15.075,83.875
10/10/2015,29.692,76.8,216,15.56,84.68
10/11/2015,29.74,75.7,150,13.6,82.8
10/12/2015,29.74,75.6,150,15.6,83.3
10/16/2015,29.74,71.4,340,3.9,86.2
10/17/2015,29.79142857,73.88571429,140,9.157142857,85.45714286
10/18/2015,29.82666667,72.2,123.3333333,9.066666667,86
10/19/2015,29.79125,75.1125,240,10.2,84.8
10/21/2015,29.746,72.98,218,7.78,85.46
10/22/2015,29.79,69.45,195,9.75,83.6
