Identification,Latitude,Longitude,Time of Observation,Sea Level Pressure,Characteristics of Pressure Tendency,Pressure Tendency,Air Temperature,Wet Bulb Temperature,Dew Point Temperature,Sea Surface Temperature,Wind Direction,Wind Speed
8TAP, 13.2,  80.4,2017-06-12T09:09:00,29.61, , ,86.5, ,78.3, ,170,17.5
8TAP, 13.4,  80.5,2017-06-12T12:09:00,29.59, , ,86.9, ,79.0, ,170,15.6
8TAP, 13.5,  80.6,2017-06-12T15:09:00,29.64, , ,86.7, ,79.9, ,190,19.4
8TAP, 13.6,  80.6,2017-06-12T18:09:00,29.67, , ,86.0, ,80.2, ,200,19.4
8TAP, 13.6,  80.6,2017-06-12T21:09:00,29.61, , ,85.8, ,80.1, ,190,19.4
8TAP, 13.6,  80.6,2017-06-13T00:09:00,29.66, , ,85.5, ,79.5, ,200,17.5
8TAP, 13.8,  80.6,2017-06-13T03:09:00,29.68, , ,86.2, ,78.6, ,200,15.6
8TAP, 13.7,  80.6,2017-06-13T06:09:00,29.68, , ,85.8, ,78.6, ,180,15.6
8TAP, 13.6,  80.6,2017-06-13T09:09:00,29.61, , ,86.7, ,78.4, ,170,13.6
8TAP, 13.9,  80.4,2017-06-13T12:09:00,29.56, , ,93.0, ,79.3, ,180,19.4
8TAP, 14.2,  80.5,2017-06-13T18:09:00,29.66, , ,86.7, ,81.0, ,180,21.4
8TAP, 14.3,  80.5,2017-06-13T21:09:00,29.63, , ,85.6, ,81.7, ,190,17.5
8TAP, 14.3,  80.5,2017-06-14T00:09:00,29.65, , ,86.2, ,79.7, ,190,17.5
8TAP, 14.1,  80.5,2017-06-14T12:09:00,29.62, , ,86.5, ,81.1, ,140,11.7
8TAP, 13.7,  80.6,2017-06-14T15:09:00,29.67, , ,85.6, ,82.0, ,180,17.5
8TAP, 13.5,  80.6,2017-06-14T18:09:00,29.73, , ,84.6, ,78.6, ,200,19.4
8TAP, 13.5,  80.6,2017-06-14T21:09:00,29.67, , ,84.4, ,78.4, ,180,23.3
8TAP, 13.5,  80.6,2017-06-15T00:09:00,29.71, , ,84.0, ,76.6, ,190,13.6
8TAP, 13.5,  80.6,2017-06-15T03:09:00,29.76, , ,84.7, ,76.8, ,220,13.6
8TAP, 13.6,  80.6,2017-06-15T06:09:00,29.75, , ,85.3, ,78.3, ,200,9.7
8TAP, 13.4,  80.6,2017-06-15T09:09:00,29.69, , ,85.8, ,79.9, ,170,7.8
8TAP, 13.2,  80.5,2017-06-15T12:09:00,29.65, , ,84.9, ,80.6, ,140,11.7
8TAP, 13.2,  80.4,2017-06-15T15:09:00,29.71, , ,84.4, ,81.9, ,170,7.8
8TAP, 13.2,  80.4,2017-06-15T18:09:00,29.71, , ,84.4, ,80.4, ,190,15.6
8TAP, 13.2,  80.4,2017-06-15T21:09:00,29.67, , ,84.0, ,77.4, ,200,13.6
8TAP, 13.2,  80.4,2017-06-16T00:09:00,29.69, , ,83.5, ,80.2, ,190,15.6
8TAP, 13.2,  80.4,2017-06-16T03:09:00,29.76, , ,83.7, ,77.4, ,210,9.7
8TAP, 13.3,  80.6,2017-06-17T12:09:00,29.62, , ,86.0, ,80.6, ,160,17.5
8TAP, 13.5,  80.8,2017-06-17T15:09:00,29.68, , ,86.2, ,81.5, ,170,15.6
8TAP, 13.5,  80.8,2017-06-17T18:09:00,29.70, , ,85.8, ,81.5, ,190,15.6
8TAP, 13.6,  80.8,2017-06-17T21:09:00, , , ,85.5, ,80.8, ,200,21.4
8TAP, 13.7,  80.8,2017-06-18T03:09:00,29.73, , ,88.9, ,79.3, ,220,9.7
8TAP, 13.7,  80.8,2017-06-18T06:09:00,29.69, , ,86.2, ,77.2, ,210,9.7
8TAP, 13.6,  80.8,2017-06-18T09:09:00,29.64, , ,86.7, ,77.2, ,140,5.8
8TAP, 13.4,  80.6,2017-06-18T12:09:00,29.60, , ,86.2, ,79.7, ,140,13.6
8TAP, 13.3,  80.6,2017-06-19T06:09:00,29.70, , ,84.6, ,78.3, ,230,3.9
