date,meantempm,meandewptm,meanpressurem,maxhumidity,minhumidity,maxtempm,mintempm,maxdewptm,mindewptm,maxpressurem,minpressurem,precipm
2015-01-01 00:00:00,25,24,1008.88,100,65,29,21,25,22,1012,1007,0.4
2015-01-02 00:00:00,26,24,1011.18,100,66,30,22,26,22,1014,1009,0.0
2015-01-03 00:00:00,26,24,1012.48,100,60,30,23,25,23,1015,1010,0.0
2015-01-04 00:00:00,26,23,1012.57,100,58,30,22,25,22,1016,1010,0.0
2015-01-05 00:00:00,26,23,1012.30,100,49,30,22,25,20,1015,1010,0.0
2015-01-06 00:00:00,26,23,1012.60,100,50,30,21,25,21,1016,1011,0.0
2015-01-07 00:00:00,26,23,1012.38,100,55,30,21,24,22,1016,1010,0.0
2015-01-08 00:00:00,25,22,1012.78,100,56,29,21,24,21,1016,1011,0.0
2015-01-09 00:00:00,26,22,1014.12,100,55,29,22,23,18,1017,1012,0.0
2015-01-10 00:00:00,23,18,1014.63,94,40,29,17,22,14,1018,1012,0.0
2015-01-11 00:00:00,24,18,1014.66,88,33,29,19,20,15,1018,1013,0.0
2015-01-12 00:00:00,24,18,1013.96,94,34,28,19,19,15,1017,1012,0.0
2015-01-13 00:00:00,24,18,1013.14,94,41,29,18,20,16,1017,1011,0.0
2015-01-14 00:00:00,23,18,1012.96,94,43,28,18,20,16,1016,1011,0.0
2015-01-15 00:00:00,24,19,1012.90,94,43,29,18,22,18,1016,1011,0.0
2015-01-16 00:00:00,25,21,1013.33,100,48,29,21,23,19,1016,1011,0.0
2015-01-17 00:00:00,24,19,1013.94,94,41,29,20,22,16,1017,1012,0.0
2015-01-18 00:00:00,24,19,1014.37,100,45,28,20,21,17,1017,1012,0.0
2015-01-19 00:00:00,24,18,1014.32,94,39,29,19,19,17,1017,1012,0.0
2015-01-20 00:00:00,24,18,1015.73,94,41,29,19,20,17,1018,1014,0.0
2015-01-21 00:00:00,24,18,1017.17,88,29,29,19,20,14,1020,1015,0.0
2015-01-22 00:00:00,24,20,1016.81,88,58,28,20,22,18,1019,1014,0.5
2015-01-23 00:00:00,26,22,1014.40,100,52,29,22,23,20,1017,1012,0.0
2015-01-24 00:00:00,25,22,1014.50,94,62,29,21,24,19,1017,1012,3.0
2015-01-25 00:00:00,24,20,1015.87,100,46,28,19,21,18,1019,1014,0.0
2015-01-26 00:00:00,24,20,1015.02,94,42,29,20,21,18,1018,1013,0.0
2015-01-27 00:00:00,24,21,1013.59,94,53,28,21,22,19,1017,1011,0.0
2015-01-28 00:00:00,24,20,1012.24,94,48,29,20,23,19,1015,1010,3.0
2015-01-29 00:00:00,26,21,1012.76,94,47,30,22,23,19,1016,1010,0.0
2015-01-30 00:00:00,26,21,1014.53,94,48,29,22,23,19,1017,1013,0.0
2015-01-31 00:00:00,24,20,1014.88,100,43,29,20,22,19,1017,1013,0.0
2015-02-01 00:00:00,24,21,1014.58,100,46,29,20,22,20,1017,1012,0.0
2015-02-02 00:00:00,25,20,1015.90,94,45,29,21,22,18,1018,1014,0.0
2015-02-03 00:00:00,25,20,1017.27,88,43,30,20,21,18,1020,1015,0.0
2015-02-04 00:00:00,26,21,1016.67,94,44,30,21,22,19,1020,1014,0.0
2015-02-05 00:00:00,26,20,1015.07,94,36,31,20,22,17,1017,1013,0.0
2015-02-06 00:00:00,26,21,1014.63,94,43,30,21,22,19,1017,1013,0.0
2015-02-07 00:00:00,25,20,1014.23,94,37,30,20,22,16,1017,1012,0.0
2015-02-08 00:00:00,25,20,1013.73,94,42,30,20,21,18,1016,1011,0.0
2015-02-09 00:00:00,25,19,1013.92,88,38,30,20,21,17,1016,1012,0.0
2015-02-10 00:00:00,25,20,1014.51,83,47,29,21,21,18,1018,1012,0.0
2015-02-11 00:00:00,25,21,1013.42,88,51,29,21,22,20,1016,1011,0.0
2015-02-12 00:00:00,26,21,1012.81,94,40,31,21,22,19,1016,1010,0.0
2015-02-13 00:00:00,26,22,1012.52,94,50,31,21,23,20,1016,1010,0.0
2015-02-14 00:00:00,26,21,1011.36,100,36,32,20,23,16,1014,1009,0.0
2015-02-15 00:00:00,26,20,1011.78,88,23,33,20,23,13,1014,1009,0.0
2015-02-16 00:00:00,26,20,1012.85,100,28,32,21,22,16,1016,1010,0.0
2015-02-17 00:00:00,25,21,1012.43,100,37,29,21,22,16,1016,1009,0.0
2015-02-18 00:00:00,26,20,1011.90,94,29,32,20,22,12,1015,1009,0.0
2015-02-19 00:00:00,24,20,1011.76,94,39,30,19,29,18,1015,1009,0.0
2015-02-20 00:00:00,25,20,1012.60,94,36,30,20,22,18,1015,1010,0.0
2015-02-21 00:00:00,26,20,1012.86,94,37,30,21,22,17,1015,1011,0.0
2015-02-22 00:00:00,26,19,1013.23,94,27,31,21,22,15,1016,1011,0.0
2015-02-23 00:00:00,26,20,1013.40,94,35,31,21,22,17,1016,1011,0.0
2015-02-24 00:00:00,26,19,1012.31,94,29,31,20,21,15,1016,1010,0.0
2015-02-25 00:00:00,26,18,1010.75,94,20,32,19,21,11,1014,1009,0.0
2015-02-26 00:00:00,26,21,1009.71,88,45,31,21,24,19,1013,1007,0.0
2015-02-27 00:00:00,27,24,1009.94,94,56,32,22,24,22,1013,1008,0.0
2015-02-28 00:00:00,27,24,1010.25,94,55,31,23,24,22,1013,1008,0.0
2015-03-01 00:00:00,28,23,1010.67,84,55,31,24,24,22,1013,1008,0.0
2015-03-02 00:00:00,28,23,1011.82,89,50,31,25,24,22,1015,1009,0.0
2015-03-03 00:00:00,28,23,1011.06,89,50,32,23,24,22,1014,1008,0.0
2015-03-04 00:00:00,28,23,1010.63,94,38,33,23,25,20,1014,1008,0.0
2015-03-05 00:00:00,28,25,1011.78,94,50,33,24,25,24,1015,1010,0.0
2015-03-06 00:00:00,28,24,1012.85,100,43,32,24,25,21,1016,1011,0.0
2015-03-07 00:00:00,28,23,1012.71,94,44,33,24,25,21,1016,1010,0.0
2015-03-08 00:00:00,28,23,1013.28,94,45,32,23,24,21,1016,1011,0.0
2015-03-09 00:00:00,28,23,1014.25,94,37,33,24,24,19,1017,1012,0.0
2015-03-10 00:00:00,27,20,1014.02,100,35,32,22,24,17,1016,1012,0.0
2015-03-11 00:00:00,27,21,1013.80,83,34,32,22,22,19,1017,1011,0.0
2015-03-12 00:00:00,28,22,1013.70,89,43,32,23,23,21,1016,1011,0.0
2015-03-13 00:00:00,28,22,1013.38,94,38,33,24,24,20,1016,1011,0.0
2015-03-14 00:00:00,28,23,1014.08,94,39,33,23,24,21,1017,1012,0.0
2015-03-15 00:00:00,28,23,1014.08,100,45,32,24,24,21,1017,1011,0.0
2015-03-16 00:00:00,28,23,1014.04,94,42,32,23,24,20,1017,1012,0.0
2015-03-17 00:00:00,27,22,1012.60,94,37,33,21,23,18,1016,1010,0.0
2015-03-18 00:00:00,28,21,1010.58,94,28,35,21,23,16,1013,1008,0.0
2015-03-19 00:00:00,28,22,1011.27,94,32,34,21,24,19,1014,1009,0.0
2015-03-20 00:00:00,28,23,1012.35,94,42,33,23,24,21,1015,1010,0.0
2015-03-21 00:00:00,29,21,1013.04,94,19,35,23,24,12,1016,1010,0.0
2015-03-22 00:00:00,30,22,1011.52,89,24,36,23,25,16,1015,1009,0.0
2015-03-23 00:00:00,29,24,1009.92,94,39,35,23,26,20,1013,1007,0.0
2015-03-24 00:00:00,28,24,1009.43,100,40,34,23,26,22,1012,1007,0.0
2015-03-25 00:00:00,28,24,1010.65,94,46,33,23,25,22,1014,1009,0.0
2015-03-26 00:00:00,28,23,1012.60,94,40,33,24,24,21,1016,1011,0.0
2015-03-27 00:00:00,28,23,1012.75,94,37,33,24,24,20,1016,1010,0.0
2015-03-28 00:00:00,29,24,1011.54,94,38,34,24,25,21,1015,1008,0.0
2015-03-29 00:00:00,30,23,1010.11,94,32,34,25,25,19,1014,1007,0.0
